time,node,cpu,ram,disk,latency,throughput,received,outputs
02:30:41,pi1-512,100.0,38.3,93.9,13.5,270.2,3267,653
02:30:41,pi5-8,2.9,18.3,36.2,9.5,492.5,6128,1225
02:30:41,pi4-1,5.1,61.4,0.9,9.4,500.2,6393,1278
02:30:42,pi5-16,5.2,28.5,5.9,9.7,499.9,6932,1386
02:30:43,pi1-512,100.0,38.3,93.9,13.4,270.8,3811,762
02:30:43,pi5-8,2.6,18.3,36.2,9.4,500.0,7131,1426
02:30:43,pi4-1,5.2,61.4,0.9,9.4,500.2,7394,1478
02:30:44,pi5-16,4.6,28.4,5.9,9.9,500.4,7933,1586
02:30:45,pi1-512,100.0,38.3,93.9,13.5,270.0,4354,870
02:30:45,pi5-8,8.7,18.3,36.2,9.5,501.6,8131,1626
02:30:45,pi4-1,4.9,61.4,0.9,9.4,499.7,8394,1678
02:30:46,pi5-16,3.2,28.5,5.9,9.7,491.9,8917,1783
02:30:47,pi1-512,100.0,38.3,93.9,13.4,270.2,4904,980
02:30:47,pi5-8,9.2,18.3,36.2,9.5,505.8,9144,1828
02:30:47,pi4-1,4.0,61.4,0.9,9.4,500.6,9396,1879
02:30:48,pi5-16,3.0,28.5,5.9,9.7,499.9,9917,1983
02:30:49,pi5-8,14.8,18.2,36.2,9.4,499.0,10143,2028
02:30:49,pi1-512,100.0,38.3,93.9,13.4,270.8,5449,1089
02:30:49,pi4-1,3.3,61.4,0.9,9.4,499.7,10396,2079
02:30:50,pi5-16,3.1,28.5,5.9,9.7,499.9,10917,2183
02:30:51,pi5-8,4.8,18.1,36.2,9.5,497.5,11139,2227
02:30:51,pi1-512,100.0,38.4,93.9,13.5,269.4,5991,1198
02:30:51,pi4-1,2.9,61.4,0.9,9.4,499.6,11396,2279
02:30:52,pi5-16,2.9,28.5,5.9,9.7,499.9,11917,2383
02:30:53,pi5-8,2.6,18.1,36.2,9.5,500.3,12141,2428
02:30:53,pi1-512,100.0,38.4,93.9,13.4,270.7,6535,1306
02:30:53,pi4-1,3.0,61.4,0.9,9.4,500.2,12397,2479
02:30:54,pi5-16,2.9,28.5,5.9,9.7,499.9,12917,2583
02:30:55,pi5-8,11.9,18.1,36.2,9.5,502.9,13148,2629
02:30:55,pi1-512,100.0,38.4,93.9,13.3,269.0,7082,1416
02:30:55,pi4-1,3.1,61.4,0.9,9.4,500.1,13398,2679
02:30:56,pi5-16,3.4,28.5,5.9,9.8,499.9,13917,2783
02:30:57,pi5-8,2.9,18.1,36.2,9.4,495.8,14141,2828
02:30:57,pi1-512,100.0,38.4,93.9,13.3,270.7,7627,1525
02:30:57,pi4-1,3.9,61.4,0.9,9.4,499.7,14398,2879
02:30:58,pi5-16,3.0,28.5,5.9,9.7,499.9,14917,2983
02:30:59,pi5-8,17.6,18.4,36.2,9.5,497.0,15136,3027
02:30:59,pi1-512,100.0,38.4,93.9,13.5,270.3,8171,1634
02:30:59,pi4-1,3.8,61.4,0.9,9.4,499.6,15398,3079
02:31:00,pi5-16,3.7,28.5,5.9,9.7,499.9,15917,3183
02:31:01,pi5-8,8.2,18.3,36.2,9.5,504.7,16147,3229
02:31:01,pi1-512,100.0,38.4,93.9,13.4,270.8,8716,1743
02:31:01,pi4-1,3.9,61.4,0.9,9.4,500.1,16399,3279
02:31:02,pi5-16,2.8,28.5,5.9,9.8,502.3,16925,3385
02:31:03,pi5-8,2.5,18.3,36.2,9.5,500.3,17149,3429
02:31:03,pi1-512,100.0,38.4,93.9,13.4,270.6,9266,1853
02:31:03,pi4-1,4.2,61.4,0.9,9.4,500.7,17401,3480
02:31:04,pi5-16,11.0,28.6,5.9,9.6,503.8,17934,3586
02:31:05,pi5-8,4.0,18.3,36.2,9.5,499.4,18149,3629
02:31:05,pi1-512,100.0,38.4,93.9,13.5,270.0,9811,1962
02:31:05,pi4-1,4.2,61.4,0.9,9.4,500.1,18402,3680
02:31:06,pi5-16,16.0,30.2,5.9,9.8,502.8,18936,3787
02:31:07,pi5-8,6.9,18.1,36.2,9.5,500.8,19152,3830
02:31:07,pi1-512,100.0,38.4,93.9,14.2,253.0,10321,2064
02:31:07,pi4-1,4.2,61.4,0.9,9.4,499.1,19401,3880
02:31:08,pi5-16,15.0,29.5,5.9,9.7,499.9,19936,3987
02:31:09,pi5-8,3.0,18.1,36.2,9.5,501.8,20157,4031
02:31:09,pi1-512,100.0,38.4,93.9,13.7,268.4,10861,2172
02:31:09,pi4-1,4.2,61.4,0.9,9.4,500.1,20402,4080
02:31:10,pi5-16,3.6,29.4,5.9,9.7,499.9,20936,4187
02:31:11,pi5-8,24.3,18.2,36.2,9.5,497.8,21154,4230
02:31:11,pi1-512,100.0,38.5,93.9,13.4,271.1,11410,2281
02:31:11,pi4-1,4.2,61.4,0.9,9.4,500.2,21403,4280
02:31:12,pi5-16,3.0,29.3,5.9,9.7,499.9,21936,4387
