time,node,cpu,ram,disk,latency,throughput,received,outputs
02:37:49,pi5-16,1.4,29.2,5.9,4.9,999.8,11981,2396
02:37:51,pi5-16,3.3,29.2,5.9,4.8,1002.8,13987,2797
02:37:53,pi5-16,2.1,29.1,5.9,4.8,997.3,15982,3196
02:37:55,pi5-16,1.0,29.1,5.9,4.8,999.8,17982,3596
02:37:57,pi5-16,4.2,29.0,5.9,4.8,997.2,19977,3995
02:37:59,pi5-16,1.0,28.9,5.9,4.9,998.2,21974,4394
02:38:01,pi5-16,1.3,28.9,5.9,4.8,1003.7,23982,4796
02:38:03,pi5-16,1.1,29.0,5.9,4.9,995.3,25973,5194
02:38:05,pi5-16,1.0,28.9,5.9,4.8,1006.8,27987,5597
02:38:07,pi5-16,1.0,28.9,5.9,4.8,997.3,29982,5996
02:38:09,pi5-16,1.1,28.9,5.9,4.9,999.8,31982,6396
02:38:11,pi5-16,1.0,28.9,5.9,4.8,999.8,33982,6796
02:38:13,pi5-16,1.6,28.9,5.9,4.8,998.3,35979,7195
02:38:15,pi5-16,1.1,28.9,5.9,4.8,1001.8,37983,7596
02:38:17,pi5-16,2.7,28.9,5.9,4.9,1004.3,39992,7998
02:38:19,pi5-16,1.0,28.9,5.9,4.9,993.3,41979,8395
02:38:21,pi5-16,1.0,28.9,5.9,4.8,1001.3,43982,8796
02:38:23,pi5-16,1.0,28.8,5.9,4.9,999.8,45982,9196
02:38:25,pi5-16,1.4,28.9,5.9,4.9,997.3,47977,9595
02:38:27,pi5-16,0.9,28.9,5.9,4.8,1002.8,49983,9996
02:38:29,pi5-16,1.7,28.9,5.9,4.9,1000.3,51984,10396
02:38:31,pi5-16,1.0,28.9,5.9,4.9,999.3,53983,10796
02:38:33,pi5-16,1.0,28.9,5.9,4.9,1002.3,55988,11197
02:38:35,pi5-16,1.0,28.9,5.9,4.8,997.3,57983,11596
02:38:37,pi5-16,1.1,28.9,5.9,4.8,998.8,59981,11996
02:38:39,pi5-16,1.2,28.9,5.9,4.9,993.8,61969,12393
02:38:41,pi5-16,1.0,28.9,5.9,4.9,1007.3,63984,12796
02:38:43,pi5-16,1.0,28.9,5.9,4.8,1001.3,65987,13197
02:38:45,pi5-16,1.1,28.9,5.9,4.9,1000.3,67988,13597
02:38:47,pi5-16,1.0,28.9,5.9,4.8,999.3,69987,13997
