time,node,cpu,ram,disk,latency,throughput,received,outputs
02:21:24,pi5-16,21.6,28.3,5.9,0.0,0.0,0,0
02:21:26,pi5-8,14.2,18.2,36.2,0.0,0.0,0,0
02:21:26,pi5-16,21.5,28.3,5.9,0.0,0.0,0,0
02:21:26,pi4-1,0.2,62.7,0.9,0.0,0.0,0,0
02:21:28,pi5-8,5.6,18.2,36.2,0.0,0.0,0,0
02:21:28,pi5-16,5.3,28.3,5.9,0.0,0.0,0,0
02:21:28,pi4-1,0.1,61.9,0.9,0.0,0.0,0,0
02:21:30,pi5-8,7.9,18.1,36.2,0.0,0.0,0,0
02:21:30,pi1-512,4.0,38.0,93.9,0.0,0.0,0,0
02:21:30,pi5-16,19.3,28.4,5.9,0.0,0.0,0,0
02:21:30,pi4-1,8.3,63.8,0.9,0.0,0.0,0,0
02:21:32,pi5-8,7.9,18.3,36.2,27.9,8.0,16,3
02:21:32,pi1-512,81.0,38.1,93.9,30.2,16.9,35,6
02:21:32,pi5-16,23.5,28.5,5.9,40.8,38.0,76,15
02:21:32,pi4-1,0.2,63.2,0.9,41.1,39.5,79,15
02:21:34,pi5-8,3.0,18.3,36.2,43.4,115.4,248,49
02:21:34,pi1-512,47.2,38.1,93.9,35.6,117.3,272,54
02:21:34,pi5-16,24.7,28.5,5.9,43.4,116.0,308,61
02:21:34,pi4-1,0.3,62.5,0.9,42.4,115.0,309,61
02:21:36,pi5-8,13.6,18.3,36.2,43.2,115.3,479,95
02:21:36,pi1-512,47.0,38.1,93.9,35.6,113.4,501,100
02:21:36,pi5-16,25.9,28.5,5.9,43.6,113.0,534,106
02:21:36,pi4-1,0.1,62.1,0.9,42.2,115.0,539,107
02:21:38,pi5-8,9.1,18.1,36.2,40.7,113.8,706,141
02:21:38,pi1-512,48.9,38.1,93.9,36.1,117.3,739,147
02:21:38,pi5-16,24.3,28.5,5.9,43.0,117.0,768,153
02:21:38,pi4-1,0.5,61.7,0.9,41.0,115.9,771,154
02:21:40,pi5-8,1.4,18.1,36.2,41.1,117.3,941,188
02:21:40,pi1-512,49.2,38.1,93.9,36.0,116.9,975,194
02:21:40,pi5-16,5.9,28.5,5.9,42.6,117.5,1003,200
02:21:40,pi4-1,0.1,61.6,0.9,41.2,118.9,1009,201
02:21:42,pi5-8,1.4,18.1,36.2,43.1,116.3,1174,234
02:21:42,pi1-512,47.5,38.1,93.9,35.6,116.2,1210,242
02:21:42,pi5-16,21.1,28.5,5.9,40.4,116.5,1236,247
02:21:42,pi4-1,0.6,61.3,0.9,40.7,115.9,1241,248
