time,node,cpu,ram,disk,latency,throughput,received,outputs
02:46:01,pi1-512,50.5,38.2,93.9,152.3,125.3,1535,76
02:46:01,pi5-8,4.2,18.3,36.2,152.1,124.9,1537,76
02:46:02,pi4-1,0.1,61.7,0.9,152.0,124.9,1599,79
02:46:03,pi5-16,4.6,29.0,5.9,152.0,126.5,1734,86
02:46:03,pi5-8,9.4,18.3,36.2,152.6,125.3,1788,89
02:46:03,pi1-512,50.7,38.2,93.9,152.4,124.7,1788,89
02:46:04,pi4-1,0.1,61.6,0.9,152.1,125.4,1850,92
02:46:05,pi5-16,3.8,29.0,5.9,152.1,123.5,1981,99
02:46:05,pi5-8,2.8,18.3,36.2,152.0,124.8,2038,101
02:46:05,pi1-512,50.5,38.2,93.9,152.2,125.3,2041,102
02:46:06,pi4-1,0.1,61.6,0.9,152.0,124.9,2100,105
02:46:07,pi5-16,2.5,28.9,5.9,152.0,126.5,2234,111
02:46:07,pi5-8,3.3,18.3,36.2,152.6,124.8,2289,114
02:46:07,pi1-512,55.2,38.2,93.9,151.6,125.0,2292,114
02:46:08,pi4-1,0.1,61.6,0.9,152.0,124.9,2350,117
02:46:09,pi5-16,2.2,29.0,5.9,152.1,123.5,2481,124
02:46:09,pi5-8,12.2,18.2,36.2,152.0,125.4,2539,126
02:46:09,pi1-512,51.0,38.2,93.9,152.5,124.8,2543,127
02:46:10,pi4-1,0.3,61.6,0.9,152.0,124.9,2600,130
02:46:11,pi5-16,2.2,28.9,5.9,152.0,126.5,2734,136
02:46:11,pi5-8,15.3,18.2,36.2,152.1,124.8,2789,139
02:46:11,pi1-512,50.8,38.2,93.9,152.1,124.8,2794,139
02:46:12,pi4-1,0.1,61.6,0.9,152.0,124.9,2850,142
02:46:13,pi5-16,2.0,29.0,5.9,152.1,123.5,2981,149
02:46:13,pi5-8,3.7,18.2,36.2,152.1,124.9,3039,151
02:46:14,pi1-512,50.8,38.2,93.9,152.4,125.3,3046,152
02:46:14,pi4-1,0.3,61.6,0.9,152.1,125.4,3101,155
02:46:15,pi5-16,2.1,29.0,5.9,152.0,126.5,3234,161
02:46:15,pi5-8,7.5,18.3,36.2,152.1,125.3,3290,164
02:46:16,pi1-512,53.5,38.2,93.9,151.6,124.8,3297,164
02:46:16,pi4-1,0.3,61.6,0.9,152.0,124.9,3351,167
02:46:17,pi5-16,4.0,28.9,5.9,152.1,123.5,3481,174
02:46:17,pi5-8,3.1,18.3,36.2,152.1,124.8,3540,177
02:46:18,pi1-512,51.2,38.2,93.9,152.4,124.8,3549,177
02:46:18,pi4-1,0.1,61.6,0.9,152.0,124.9,3601,180
02:46:19,pi5-16,2.0,28.9,5.9,152.0,126.5,3734,186
02:46:19,pi5-8,7.9,18.2,36.2,152.1,124.8,3791,189
02:46:20,pi1-512,50.8,38.2,93.9,152.2,125.3,3801,190
02:46:20,pi4-1,0.3,61.6,0.9,152.0,124.9,3851,192
02:46:21,pi5-16,2.1,28.9,5.9,152.1,123.5,3981,199
02:46:21,pi5-8,15.5,18.2,36.2,152.1,125.3,4041,202
02:46:22,pi1-512,50.5,38.2,93.9,152.1,124.8,4055,202
02:46:22,pi4-1,0.1,61.6,0.9,152.0,124.9,4101,205
02:46:23,pi5-16,2.2,28.9,5.9,152.0,126.5,4234,211
02:46:23,pi5-8,4.5,18.2,36.2,152.0,124.8,4291,214
02:46:24,pi1-512,51.0,38.2,93.9,152.4,125.3,4306,215
02:46:24,pi4-1,0.4,61.6,0.9,152.0,124.9,4351,217
02:46:25,pi5-16,2.1,28.9,5.9,152.1,123.5,4481,224
02:46:25,pi5-8,7.1,18.3,36.2,152.1,124.8,4541,227
02:46:26,pi1-512,50.0,38.2,93.9,152.2,124.9,4557,227
02:46:26,pi4-1,0.3,61.6,0.9,152.0,124.9,4601,230
