time,node,cpu,ram,disk,latency,throughput,received,outputs
02:33:45,pi5-8,0.9,18.3,36.2,160.2,25.0,303,60
02:33:45,pi1-512,21.6,38.1,93.9,160.0,24.8,304,60
02:33:46,pi4-1,0.4,61.6,0.9,160.1,25.0,319,63
02:33:47,pi5-16,3.7,28.9,5.9,160.0,25.0,342,68
02:33:47,pi5-8,14.5,18.3,36.2,160.1,25.5,354,70
02:33:47,pi1-512,22.3,38.1,93.9,160.4,25.3,354,70
02:33:48,pi4-1,0.0,61.6,0.9,160.1,25.0,369,73
02:33:49,pi5-16,3.8,28.8,5.9,160.0,25.0,392,78
02:33:49,pi5-8,8.0,18.2,36.2,160.1,25.0,404,80
02:33:49,pi1-512,22.5,38.1,93.9,160.3,24.8,404,80
02:33:50,pi4-1,0.5,61.5,0.9,160.1,25.0,419,83
02:33:51,pi5-16,2.4,28.9,5.9,160.0,25.0,442,88
02:33:51,pi5-8,0.9,18.2,36.2,160.1,25.0,454,90
02:33:51,pi1-512,22.4,38.1,93.9,160.4,24.8,454,90
02:33:52,pi4-1,0.1,61.5,0.9,160.1,25.0,469,93
02:33:53,pi5-16,2.1,28.9,5.9,160.1,25.0,492,98
02:33:53,pi5-8,6.4,18.2,36.2,160.1,25.0,504,100
02:33:53,pi1-512,21.7,38.1,93.9,161.1,25.4,505,101
02:33:54,pi4-1,0.1,61.5,0.9,160.0,25.0,519,103
02:33:55,pi5-16,2.5,28.9,5.9,160.0,25.0,542,108
02:33:55,pi5-8,1.5,18.2,36.2,160.0,25.0,554,110
02:33:55,pi1-512,21.9,38.1,93.9,160.3,24.8,555,111
02:33:56,pi4-1,0.1,61.5,0.9,160.0,25.0,569,113
02:33:57,pi5-16,2.2,28.9,5.9,160.0,25.0,592,118
02:33:57,pi5-8,4.5,18.2,36.2,160.1,25.0,604,120
02:33:57,pi1-512,21.7,38.1,93.9,160.3,24.8,606,121
02:33:58,pi4-1,0.1,61.5,0.9,160.0,25.0,619,123
02:33:59,pi5-16,2.2,28.9,5.9,160.0,25.0,642,128
02:33:59,pi5-8,22.2,18.1,36.2,160.0,25.0,654,130
02:33:59,pi1-512,22.4,38.1,93.9,160.0,25.3,656,131
02:34:00,pi4-1,0.3,61.5,0.9,160.0,25.0,669,133
02:34:01,pi5-16,2.4,28.9,5.9,160.0,25.0,692,138
02:34:01,pi5-8,1.2,18.1,36.2,160.0,25.0,704,140
02:34:01,pi1-512,21.6,38.1,93.9,160.3,24.8,706,141
02:34:02,pi4-1,0.1,61.5,0.9,160.1,25.0,719,143
02:34:03,pi5-16,2.3,28.9,5.9,160.1,25.5,743,148
02:34:03,pi5-8,0.9,18.1,36.2,160.0,25.0,754,150
02:34:03,pi1-512,22.3,38.1,93.9,160.3,24.8,756,151
02:34:04,pi4-1,0.1,61.5,0.9,160.0,25.0,769,153
02:34:05,pi5-16,2.1,28.9,5.9,160.1,25.0,793,158
02:34:05,pi5-8,6.6,18.2,36.2,160.1,25.0,804,160
02:34:05,pi1-512,22.0,38.1,93.9,160.3,25.4,807,161
02:34:06,pi4-1,0.1,61.5,0.9,160.0,25.0,819,163
02:34:07,pi5-16,2.2,28.9,5.9,160.1,25.0,843,168
02:34:07,pi5-8,0.8,18.2,36.2,160.1,25.0,854,170
02:34:07,pi1-512,24.5,38.1,93.9,160.2,24.8,857,171
02:34:08,pi4-1,0.1,61.5,0.9,160.1,25.0,869,173
02:34:09,pi5-16,2.1,28.9,5.9,160.1,25.0,893,178
