time,node,cpu,ram,disk,latency,throughput,received,outputs
02:39:42,pi5-16,3.2,29.0,5.9,9.7,499.9,6577,1315
02:39:42,pi5-8,2.8,18.3,36.2,9.5,497.3,6827,1365
02:39:44,pi5-16,2.9,29.0,5.9,9.7,500.3,7578,1515
02:39:44,pi5-8,8.2,18.3,36.2,9.5,503.0,7834,1566
02:39:46,pi5-16,1.0,28.9,5.9,9.7,506.4,8595,1718
02:39:46,pi5-8,2.9,18.3,36.2,9.5,497.0,8829,1765
02:39:48,pi5-16,1.0,28.9,5.9,9.6,501.8,9595,1919
02:39:48,pi5-8,18.9,18.3,36.2,9.4,502.7,9836,1967
02:39:50,pi5-16,1.0,28.9,5.9,9.7,499.9,10596,2119
02:39:50,pi5-8,8.3,18.2,36.2,9.5,497.6,10832,2166
02:39:52,pi5-16,1.1,28.9,5.9,9.7,500.4,11596,2319
02:39:52,pi5-8,3.1,18.2,36.2,9.5,501.8,11837,2367
02:39:54,pi5-16,0.8,28.9,5.9,9.7,499.9,12596,2519
02:39:55,pi5-8,2.9,18.2,36.2,9.5,498.8,12836,2567
02:39:56,pi5-16,0.8,28.9,5.9,9.8,499.9,13596,2719
02:39:57,pi5-8,8.9,18.1,36.2,9.5,497.3,13832,2766
02:39:58,pi5-16,0.7,28.9,5.9,9.8,499.9,14597,2919
02:39:59,pi5-8,17.2,18.2,36.2,9.5,504.0,14841,2968
02:40:00,pi5-16,0.8,28.9,5.9,9.8,500.4,15597,3119
02:40:01,pi5-8,9.8,18.3,36.2,9.5,499.5,15841,3168
02:40:02,pi5-16,1.0,28.9,5.9,9.7,499.9,16597,3319
02:40:03,pi5-8,4.5,18.4,36.2,9.5,502.3,16847,3369
02:40:04,pi5-16,1.1,28.9,5.9,9.7,499.9,17597,3519
02:40:05,pi5-8,3.5,18.4,36.2,9.5,500.5,17849,3569
02:40:06,pi5-16,0.9,28.9,5.9,9.7,492.4,18582,3716
02:40:07,pi5-8,8.4,18.2,36.2,9.4,498.2,18847,3769
02:40:08,pi5-16,1.0,28.9,5.9,9.7,499.9,19582,3916
02:40:09,pi5-8,3.5,18.2,36.2,9.5,494.8,19838,3967
02:40:10,pi5-16,0.9,28.9,5.9,9.7,499.9,20582,4116
02:40:11,pi5-8,19.6,18.2,36.2,9.5,506.9,20854,4170
02:40:12,pi5-16,0.8,28.9,5.9,9.7,499.9,21582,4316
02:40:13,pi5-8,8.7,18.1,36.2,9.5,500.0,21854,4370
02:40:14,pi5-16,1.0,28.9,5.9,9.7,500.9,22584,4516
02:40:15,pi5-8,3.0,18.1,36.2,9.5,496.1,22847,4569
02:40:16,pi5-16,2.5,28.9,5.9,9.7,498.9,23582,4716
02:40:17,pi5-8,4.4,18.1,36.2,9.5,501.3,23851,4770
02:40:18,pi5-16,0.9,28.9,5.9,9.7,499.9,24582,4916
02:40:19,pi5-8,6.7,18.2,36.2,9.5,500.9,24854,4970
02:40:20,pi5-16,0.9,28.9,5.9,9.7,499.9,25582,5116
02:40:21,pi5-8,7.8,18.2,36.2,9.5,497.0,25849,5169
02:40:22,pi5-16,0.8,28.9,5.9,9.8,500.9,26584,5316
02:40:23,pi5-8,18.5,18.3,36.2,9.5,500.8,26852,5370
02:40:24,pi5-16,1.0,28.9,5.9,9.7,498.9,27582,5516
02:40:25,pi5-8,2.9,18.3,36.2,9.5,500.3,27854,5570
02:40:26,pi5-16,0.9,28.9,5.9,9.7,499.9,28585,5717
02:40:27,pi5-8,3.0,18.2,36.2,9.5,500.3,28856,5771
02:40:28,pi5-16,1.7,28.9,5.9,9.8,504.3,29596,5919
02:40:29,pi5-8,9.7,18.2,36.2,9.5,502.3,29861,5972
02:40:30,pi5-16,0.9,28.9,5.9,9.7,503.8,30599,6119
02:40:31,pi5-8,5.5,18.2,36.2,9.4,500.7,30864,6172
02:40:32,pi5-16,0.9,28.9,5.9,9.6,500.4,31600,6320
02:40:33,pi5-8,18.7,18.2,36.2,9.5,498.7,31862,6372
02:40:34,pi5-16,0.9,28.9,5.9,9.9,500.4,32601,6520
02:40:35,pi5-8,10.1,18.3,36.2,9.5,499.5,32862,6572
02:40:36,pi5-16,1.0,28.9,5.9,9.7,499.9,33601,6720
02:40:37,pi5-8,3.0,18.2,36.2,9.5,498.8,33861,6772
02:40:38,pi5-16,0.9,28.9,5.9,9.9,491.4,34584,6916
02:40:39,pi5-8,9.0,18.2,36.2,9.5,500.8,34864,6972
02:40:40,pi5-16,1.3,28.9,5.9,9.8,508.4,35601,7120
02:40:41,pi5-8,3.1,18.2,36.2,9.4,498.8,35863,7172
