time,node,cpu,ram,disk,latency,throughput,received,outputs
02:47:49,pi5-8,3.7,18.2,36.2,0.0,124.8,1527,1527
02:47:49,pi1-512,99.0,38.8,93.9,0.2,125.0,1529,1528
02:47:49,pi4-1,0.1,61.6,0.9,0.0,124.9,1597,1597
02:47:50,pi5-16,3.0,29.4,5.9,0.0,125.0,1722,1722
02:47:51,pi5-8,4.3,18.2,36.2,0.0,125.3,1777,1777
02:47:51,pi1-512,99.0,38.8,93.9,0.2,124.8,1784,1783
02:47:51,pi4-1,0.3,61.6,0.9,0.0,125.4,1848,1848
02:47:52,pi5-16,1.9,29.3,5.9,0.0,125.0,1972,1972
02:47:53,pi5-8,24.2,18.4,36.2,0.0,124.8,2027,2027
02:47:53,pi1-512,99.0,38.8,93.9,0.2,125.1,2035,2035
02:47:53,pi4-1,0.0,61.6,0.9,0.0,124.9,2098,2098
02:47:54,pi5-16,0.8,29.2,5.9,0.0,125.0,2222,2222
02:47:55,pi5-8,3.6,18.3,36.2,0.0,124.8,2278,2278
02:47:55,pi1-512,99.0,38.8,93.9,0.2,125.1,2287,2286
02:47:55,pi4-1,0.5,61.6,0.9,0.0,124.9,2348,2348
02:47:56,pi5-16,0.6,29.1,5.9,0.0,125.0,2472,2472
02:47:57,pi5-8,8.7,18.3,36.2,0.0,125.3,2528,2528
02:47:57,pi1-512,99.0,38.8,93.9,0.2,125.0,2541,2541
02:47:57,pi4-1,0.1,61.6,0.9,0.0,124.9,2598,2598
02:47:58,pi5-16,0.6,29.1,5.9,0.0,125.0,2722,2722
02:47:59,pi5-8,4.0,18.2,36.2,0.0,124.8,2778,2778
02:47:59,pi1-512,99.5,38.8,93.9,0.2,125.0,2793,2792
02:47:59,pi4-1,0.3,61.6,0.9,0.0,124.9,2848,2848
02:48:00,pi5-16,0.8,29.1,5.9,0.0,125.0,2972,2972
02:48:01,pi5-8,3.5,18.2,36.2,0.0,124.8,3029,3029
02:48:01,pi1-512,98.5,38.8,93.9,0.2,125.0,3047,3047
02:48:01,pi4-1,0.1,61.6,0.9,0.0,124.9,3098,3098
02:48:02,pi5-16,0.7,29.1,5.9,0.0,125.0,3222,3222
02:48:03,pi5-8,20.4,18.3,36.2,0.0,125.4,3279,3279
02:48:03,pi1-512,99.0,38.8,93.9,0.2,125.0,3299,3298
02:48:03,pi4-1,0.3,61.6,0.9,0.0,125.4,3349,3349
02:48:04,pi5-16,0.8,29.0,5.9,0.0,125.0,3472,3472
02:48:05,pi5-8,9.3,18.2,36.2,0.0,124.8,3529,3529
02:48:05,pi1-512,99.0,38.8,93.9,0.2,124.8,3554,3553
02:48:05,pi4-1,0.1,61.6,0.9,0.0,124.9,3599,3599
02:48:06,pi5-16,0.5,29.0,5.9,0.0,125.0,3722,3722
02:48:07,pi5-8,3.3,18.2,36.2,0.0,125.3,3780,3780
02:48:07,pi1-512,99.5,38.8,93.9,0.2,125.1,3805,3805
02:48:07,pi4-1,0.3,61.6,0.9,0.0,124.9,3849,3849
02:48:08,pi5-16,0.6,29.0,5.9,0.0,125.0,3972,3972
02:48:09,pi5-8,7.9,18.1,36.2,0.0,124.8,4030,4030
02:48:09,pi1-512,99.0,38.8,93.9,0.2,125.1,4057,4056
02:48:09,pi4-1,0.1,61.6,0.9,0.0,124.9,4099,4099
02:48:10,pi5-16,0.6,29.0,5.9,0.0,125.0,4222,4222
02:48:11,pi5-8,0.9,18.1,36.2,0.0,124.8,4280,4280
02:48:11,pi1-512,99.0,38.8,93.9,0.2,125.0,4310,4309
02:48:11,pi4-1,0.4,61.6,0.9,0.0,124.9,4349,4349
02:48:12,pi5-16,0.8,29.0,5.9,0.0,125.0,4472,4472
02:48:13,pi5-8,3.3,18.2,36.2,0.0,125.3,4531,4531
02:48:13,pi1-512,99.0,38.8,93.9,0.2,124.7,4565,4564
02:48:13,pi4-1,0.1,61.5,0.9,0.0,125.4,4600,4600
02:48:14,pi5-16,0.7,29.0,5.9,0.0,125.0,4723,4723
02:48:15,pi5-8,22.2,18.3,36.2,0.0,124.8,4781,4781
02:48:15,pi1-512,99.0,38.8,93.9,0.2,125.2,4818,4817
02:48:15,pi4-1,0.3,61.6,0.9,0.0,124.9,4850,4850
02:48:16,pi5-16,1.9,29.0,5.9,0.0,125.5,4973,4973
02:48:17,pi5-8,0.4,18.2,36.2,0.0,124.8,5031,5031
02:48:17,pi1-512,99.5,38.8,93.9,0.2,125.0,5069,5069
02:48:17,pi4-1,0.1,61.6,0.9,0.0,124.9,5100,5100
02:48:18,pi5-16,1.2,29.0,5.9,0.0,125.0,5223,5223
02:48:19,pi5-8,7.3,18.5,36.2,0.0,125.3,5282,5282
02:48:19,pi1-512,99.0,38.8,93.9,0.3,124.8,5320,5320
02:48:19,pi4-1,0.3,61.6,0.9,0.0,124.9,5350,5350
02:48:20,pi5-16,0.7,29.0,5.9,0.0,125.0,5473,5473
02:48:21,pi5-8,1.8,18.5,36.2,0.0,124.8,5532,5532
02:48:21,pi1-512,98.5,38.8,93.9,0.3,125.3,5572,5571
02:48:21,pi4-1,0.1,61.6,0.9,0.0,124.9,5600,5600
02:48:22,pi5-16,0.7,29.0,5.9,0.0,125.0,5723,5723
02:48:23,pi5-8,0.5,18.5,36.2,0.0,124.8,5782,5782
02:48:23,pi1-512,99.0,38.8,93.9,0.3,125.0,5825,5824
02:48:23,pi4-1,0.3,61.6,0.9,0.0,124.9,5850,5850
02:48:24,pi5-16,0.8,29.0,5.9,0.0,125.0,5973,5973
02:48:25,pi5-8,9.9,18.3,36.2,0.0,125.4,6033,6033
02:48:25,pi1-512,99.0,38.8,93.9,0.3,124.8,6080,6079
02:48:25,pi4-1,0.5,61.5,0.9,0.0,125.4,6101,6101
02:48:26,pi5-16,0.7,29.0,5.9,0.0,125.0,6223,6223
